Prov.; Des.  ;   q   ;    Q     ; H     ;Epoch     ; M    ;Peri. ;Node   ;Incl. ; e     ; a      ;Opps.    ; Ref.      
2020;BE102  ;33.403;116.650; 5.16  ;20240331;227.9 ; 268.9;  38.6 ;  5.4 ;555;75.027;3;MPO706109  
2020;BB95   ;38.519;195.935; 6.98  ;20240331;343.6 ; 126.4;  91.6 ; 18.2 ;0.671 1;17.227;4;E2024-ED3  
2020;BA95   ;36.365;76.702; 5.76  ;20240331;116.7 ;  21.5; 313.2 ; 18.4 ;357;56.534;3;MPO665660  
2019;VP53   ;29.161;77.877; 8.13  ;20240331; 39.6 ; 327.8; 301.9 ;  2.7 ;455;53.519;( 33d)   ;E2024-LD5  
2019;VE51   ;28.325;65.818; 9.09  ;20240331; 44.9 ; 286.0; 345.9 ; 20.5 ;398;47.071;( 39d)   ;MPO825205  
2019;VE50   ;13.978;26.454;11.49  ;20240331;300.6 ; 240.8; 225.9 ;  5.0 ;309;20.216;( 62d)   ;E2024-J78  
2019;UZ173  ;35.369;60.569; 6.86  ;20240331;248.1 ; 306.7; 185.3 ; 19.0 ;263;47.969;2;MPO811075  
2019;UV173  ;36.978;125.637; 9.57  ;20240331;356.9 ; 242.0; 174.5 ; 26.4 ;545;81.307;( 90d)   ;MPO811074  
2019;UO14   ;7.480;12.111;13.31  ;20240331; 52.4 ; 144.2; 244.6 ; 32.8 ;236;9.796;5;E2024-GI3  
2019;UH12   ;7.926;98.017;10.72  ;20240331;  5.2 ; 304.3;  55.5 ; 47.0 ;850;52.972;6;E2024-GB3  
2019;UE174  ;36.075;62.255; 8.99  ;20240331; 10.5 ; 311.3;  65.4 ; 27.5 ;266;49.165;( 34d)   ;MPO825197  
2019;TX7    ;6.619;60.165;13.72  ;20240331;  9.8 ;  19.7; 343.2 ;  4.9 ;802;33.392;3;MPO660689  
2019;TL8    ;5.664;15.992;13.86  ;20240331; 59.9 ;  19.9; 344.8 ; 24.6 ;477;10.828;4;MPO660689  
2019;TG3    ;10.107;31.918;11.88  ;20240331; 24.5 ; 200.1; 135.3 ; 10.8 ;519;21.012;8;E2021-XJ3  
